Author,Title,Year of publication,,Country of study,Native or invasive,Days collected,Number collected,One day collection,Density per day,Mosquito stage reclassification,Biting indoor or outdoor,Resting indoor or outdoor,Breeding site,Condensed breeding site,Collection_method,Condensed collection method,Method,Origin
"Hamid Amani, Mohammad RezaYaghoobi-Ershadi and Hamid Kassiri","The ecology and larval habitats characteristics of anopheline mosquitoes (Diptera: Culicidae) in Aligudarz County (Luristan province, western Iran)",2014,,Iran (Farsesh),Native,14,2,0.142857143,0.000124224,Larvae,,,Rural mountains,Dry vegetated areas,Ladle or dropper,Aquatic larval collection,,n
"Hamid Amani, Mohammad RezaYaghoobi-Ershadi and Hamid Kassiri","The ecology and larval habitats characteristics of anopheline mosquitoes (Diptera: Culicidae) in Aligudarz County (Luristan province, western Iran)",2014,,Iran (Mahroo),Native,14,9,0.642857143,0.000559006,Larvae,,,Rural mountains,Dry vegetated areas,Ladle or dropper,Aquatic larval collection,,n
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia,Invasive,105,67,0.638095238,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia ,Invasive,105,15,0.142857143,,Adult,Indoor,,,,CDC light trap,Mechanical trap,b,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Jigjiga),Invasive,87,15,0.172413793,0.001915709,Larvae,,,Temporary water storage reservoirs,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Jigjiga),Invasive,87,3,0.034482759,0.000383142,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Erer),Invasive,87,5,0.057471264,0.00063857,Larvae,,,Water tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Erer),Invasive,87,100,1.149425287,0.012771392,Larvae,,,Temporary water storage reservoirs,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Erer),Invasive,87,24,0.275862069,0.003065134,Larvae,,,Abandoned car wash,Discarded human goods,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Kebridehar),Invasive,87,700,8.045977011,0.089399745,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Godey),Invasive,87,116,1.333333333,0.014814815,Larvae,,,Temporary water storage reservoirs,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Godey),Invasive,87,224,2.574712644,0.028607918,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Degehabur),Invasive,87,34,0.390804598,0.004342273,Larvae,,,Temporary water storage reservoirs,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Degehabur),Invasive,87,132,1.517241379,0.016858238,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Semera),Invasive,87,225,2.586206897,0.028735632,Larvae,,,Construction water storage reservoirs,Waste water,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Semera),Invasive,87,5,0.057471264,0.00063857,Larvae,,,Tyres,Discarded human goods,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Semera),Invasive,87,17,0.195402299,0.002171137,Larvae,,,Water tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Semera),Invasive,87,13,0.149425287,0.001660281,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Gewane),Invasive,87,12,0.137931034,0.001532567,Larvae,,,Construction water storage reservoirs,Waste water,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Gewane),Invasive,87,16,0.183908046,0.002043423,Larvae,,,Tyres,Discarded human goods,Dipping,Aquatic larval collection,,i
"Meshesha Balkew, Peter Mumba, Dereje Dengela, Gedeon Yohannes, Dejene Getachew, Solomon Yared, Sheleme Chibsa, Matthew Murphy, Kristen George, Karen Lopez, Daniel Janies, Sae Hee Choi, Joseph Spear, Seth R. Irish & Tamar E. Carter ",Geographical distribution of Anopheles stephensi in eastern Ethiopia,2020,,Ethiopia (Gewane),Invasive,87,39,0.448275862,0.004980843,Larvae,,,Steel drums,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
